root	status	buckets	gloss
Ewj	kept	-	crookedness, twistedness, curvature, bend(ing), tortuosity; unevenness; deviation (from that which is right)
Ewl	not_in_hanswehr	-	
Ewm	not_in_hanswehr	-	
Ewn	not_in_hanswehr	-	
Ewq	not_in_hanswehr	-	
Ewr	kept	-	lose an eye, be or become one-eyed
Ey$	not_in_hanswehr	-	
Eyb	not_in_hanswehr	-	
Eyl	not_in_hanswehr	-	
Eyn	not_in_hanswehr	-	
Eyr	kept	-	false, artificial (teeth, hair)
Eyy	not_in_hanswehr	-	
Ezb	kept	-	be far, be distant; to slip, escape
Ezl	kept	-	remove, set aside, isolate, separate, segregate, detach, cut off; to depose, release, dismiss, discharge
Ezm	kept	-	decide, resolve; to make up one’s mind, determine, be determined, be resolved, be bent; to adjure
Ezr	kept	-	censure, rebuke, reprove, reprimand; to refuse to have anything to do with s.o.
Ezw	kept	-	tracing back, ascription, attribution; imputation, accusation
Ezz	kept	-	might, power, standing, weight; strength, force; honor. glory, high rank, fame, celebrity, renown
H$r	kept	-	gather, assemble, rally; to cram, crowd, pack, jam (together); to squeeze. press, force, stuff, tuck
H*r	kept	-	be cautious, wary, to beware, be on one’s guard
HDD	no_gloss	-	
HDr	kept	-	be present, be in the presence; to attend; to be present, be readily recalled
HSHS	kept	-	be or become clear, plain, manifest; to come to light (truth)
HSb	kept	-	road metal, crushed rock, ballast
HSd	kept	-	harvesting, reaping, harvest
HSl	kept	-	set in; to be there, be existent, extant; to arise, come about
HSn	kept	-	be inaccessible, be well fortified; to be chaste (woman)
HSr	kept	-	surround, encircle, encompass, ring; to enclose; to parenthesize
HSy	no_gloss	-	
HTT	kept	-	putting or setting down; depreciation, belittling, derogation, disparagement; reduction, diminution, decrease
HTb	kept	-	firewood
HTm	kept	-	break, shatter, smash, wreck, demolish
HZZ	kept	-	part, portion, share, allotment; lot, fate, destiny; good luck, good fortune
HZr	kept	-	forbiddance, interdiction, prohibition, ban; embargo
HbT	kept	-	come to nothing, fail, miscarry, go wrong; to be futile, be of no avail, be lost
Hbb	kept	-	blister
Hbk	kept	-	the orbits of the celestial bodies
Hbl	kept	-	rope, cable, hawser; cord, string, thread; beam, ray (e.g., of the sun, of light), jet (e.g., of water)
Hbr	kept	-	gladden, make happy, delight
Hbs	kept	-	obstruct, shut off, confine, block, bar, hold back, check; to withhold; to hold in custody, detain to apprehend, arrest, jail, imprison
Hdb	kept	-	affection, fondness, love; kindliness; solicitude, care
Hdd	kept	-	forbidden
Hdq	kept	-	surround, encircle, encompass; to look, glance
Hdv	kept	-	a new, unprecedented thing, a novelty, innovation; event, incident, occurrence, happening; phenomenon
HfZ	kept	-	preserve; to protect, guard, defend: to observe, bear in mind, comply, be mindful, be heedful; to keep up, maintain, sustain, retain, uphold
Hfd	not_in_hanswehr	-	
Hff	kept	-	surround, enclose, encompass, border; to depilate, unhair; to trim, clip
Hfr	kept	-	digging, earthwork, excavation (also archeol.); unearthing; drilling (for oil): carving, inscribing (e.g., of letters)
Hfw	kept	-	receive kindly and hospitably, to welcome, receive with honors, honor
Hjb	kept	-	seclusion; screening off; keeping away, keeping off
Hjj	kept	-	overcome, defeat, confute; to convince
Hjr	kept	-	restriction, curb(ing), check(ing), obstruction, impeding, limitation, curtailing; barring, closing, debarment, preclusion; detention
Hjz	kept	-	curbing, prevention, restraint; seclusion, confinement, containment, isolation, insulation, separation
Hkm	kept	-	pass judgment, express an opinion, judge; to decide, give a decision, pass a verdict, pass sentence; to sentence, impose, inflict on s.o.
Hlf	kept	-	swear
Hll	kept	-	untie, unbind, unfasten, unravel, undo; to solve; to decipher, decode: to dissolve in water
Hlm	kept	-	dream; pl. irreality, utopia
Hlq	kept	-	shave; to shave off
Hly	kept	-	piece of jewelry, trinket
HmA	kept	-	clean out, dredge
Hmd	kept	-	commendation, praise, laudation
Hml	kept	-	carry, bear; to lift, pick up, load up and take along: to hold; to carry on or with one. take or bring along
Hmm	kept	-	charcoal; anything charred or carbonized; ashes, cinder
