root	status	buckets	gloss
lwH	kept	-	board, blackboard; slate; tablet
lwm	kept	-	censure, rebuke, reproof, blame, reproach
lwn	kept	-	color; coloring, tint, tinge, hue, shade; complexion
lwt	kept	-	it’s too late to escape
lwy	kept	-	turn; to crook, curve; to bend, flex, bend up, down, back or over
lyl	kept	-	nighttime, night
lyn	kept	-	be or become soft, tender, gentle, mild, pliable, flexible, supple; to yield, give way; to soften, relent, calm down
lys	kept	-	not to be; not to exist; not
lyt	kept	head	laita (particle, with foll. noun in acc. or personal suffix) would God! if only ...!
lzb	kept	-	little
lzm	kept	-	cling, adhere, belong, attend, accompany; to persist, persevere, stick, keep, keep doing; to adhere, be attached, keep close, stick
m$j	kept	-	moving, touching, gripping, pathetic
m$y	kept	-	going, walking; walk
mAy	not_in_hanswehr	-	
mDg	kept	-	chewing, mastication
mDy	kept	-	go away, leave, depart; to make off, decamp, abscond
mEn	not_in_hanswehr	-	
mEy	kept	-	gut; intestines, bowels, entrails
mEz	kept	-	comforter, consoler, condoler
mHS	kept	-	render clear, clarify, purify
mHl	kept	-	place, location, spot, site, locale, locality, center; (place of) residence; business
mHn	no_gloss	-	
mHq	kept	-	efface, blot out, strike out, erase; to eradicate, exterminate, annihilate, destroy
mHw	kept	-	wipe off, rub out, scratch out, erase, strike out; to efface, obliterate, blot out; to wipe out, eradicate, exterminate, extinguish
mSr	kept	-	persistent, insistent; determined, resolute
mTr	kept	-	rain; to shower with rain; to pour out, shower, douse
mTw	kept	-	quicken one’s pace, hurry, walk fast
mdd	kept	-	help, aid, assistance, support, backing, reinforcement; pl. resources; auxiliaries
mdn	no_gloss	-	
mhd	kept	-	bed; cradle
mhl	kept	-	tarry, dawdle, be slow, take one’s time
mhn	kept	-	serve; to humble, degrade, treat in a humiliating manner; to hackney, wear out in common service, wear out by use
mjd	kept	-	painstaking, diligent, assiduous
mjs	kept	-	spot which one touches or feels; sense of touch
mkn	kept	-	be or become strong; to become influential, gain influence, have influence, have power
mkr	kept	-	deceive, delude, cheat, dupe, gull, double-cross
mkv	kept	-	remain, abide, stay, live, dwell, reside
mkw	not_in_hanswehr	-	
mlA	kept	-	crowd, gathering, assembly, congregation; audience; (general) public
mlH	kept	-	pressing, urgent; persistent; insistent, emphatic
mlk	kept	-	take in possession, take over, acquire, seize, lay hands, possess o.s., take possession, lay hold; to possess, own, have, be the owner
mll	kept	-	tiredness, boredom, ennui; listlessness, weariness; annoyance, irritation, vexation
mlq	kept	-	mine layers
mlw	kept	-	walk briskly, run
mnE	kept	-	stop, detain, keep from entering or passing; to hinder, prevent, keep, restrain, hold back; to bar, block, obstruct
mnn	kept	-	1. (interr. pron.) who? which one? which ones? 2. (relative pron.) who; the one who; those who
mny	kept	-	fate, destiny, lot; fate of death; death
mqt	kept	-	hate, hatred, detestation, loathing, aversion, disgust; hateful, odious
mrA	kept	-	hypocrite
mrD	kept	-	satisfactory; satisfying; pleasant, pleasing, gratifying, sufficient
mrH	kept	-	be gay, merry, cheerful, in high spirits, hilarious, exuberant, lively; to be glad, happy, delighted; to rejoice, exult
mrd	kept	-	be refractory, recalcitrant, rebellious; to revolt, rebel
mrj	kept	-	grass-covered steppe; pasture land; meadow
mrr	kept	-	pass, go, walk, saunter, or stroll by or past; to march past s.o., pass in review; to pass, elapse, go by, run out (time)
mry	no_gloss	-	
msH	kept	-	stroke with the hand; to wipe off, wipe away; to rub off
msd	kept	-	palm fibers, raffia
msk	kept	-	grab, grasp, clutch, clasp, seize, take hold
mss	kept	-	feel, finger, handle, palpate
msw	no_gloss	-	
msx	kept	-	transform, transmute, convert; to falsify, distort; to mar, spoil
mtE	kept	-	carry away, take away
mtn	kept	-	half, or side, of the back; back (esp., of animals, but also fig.); main thing, main part
mvl	kept	-	s.th. similar, s.th. of the same kind; resemblance, similarity, similitude, likeness; image
mwh	kept	-	mix
mwj	kept	-	billows, surges, seas, breakers; waves; ripples
mwl	no_gloss	-	
mwr	kept	-	move to and fro, move from side to side
mwt	kept	-	die; to perish; to lose life, become dead
mxD	kept	-	chum; to shake violently
mxr	kept	-	plow; to move, out, shear, cleave; (of a ship) to plow, traverse
myd	kept	-	be moved, shaken, upset, shocked; to sway; to swing
myl	kept	-	bend, bend down; to bow down, lean over, turn; to incline, slope, slant, tilt, tip, be inclined, slanting, oblique
myr	no_gloss	-	
myz	kept	-	separate, keep apart; to distinguish, honor, favor
mzj	kept	-	mixing, blending
mzn	kept	-	rain clouds
mzq	kept	-	tear, rend, rip apart
n$A	kept	-	rise, rise aloft, emerge, appear, loom up; to come into being, come into existence, originate, form, arise, come about, crop up
n$T	kept	-	lively, animated, spirited, brisk, sprightly, vivacious, agile, nimble; stirring, bustling, busy, enterprising, energetic, active
n$r	kept	-	spread out; to unfold, open; to unroll
n$z	kept	-	be elevated, be located high above; to rise
n*r	kept	-	dedicate, consecrate; to vow, make a vow
nAy	kept	-	be far, far away, distant, remote, keep away, stay away, keep at a distance, remain aloof, go away, move away, depart, absent o.s., leave
nDd	kept	-	bedstead; pile, stack, rows, tiers (e.g., of sacks)
nDj	kept	-	be or become ripe, ripen, mature (also fig., of an affair, of a personality, or the like); to be well-cooked, be or become well done (meat)
nDr	kept	-	flourishing, blooming, verdant, fresh, radiant, glowing
nDx	not_in_hanswehr	-	
nEj	not_in_hanswehr	-	
nEl	kept	-	sandal; shoe; horseshoe
nEm	kept	-	live in comfort, and luxury, lead a life of ease, lead a comfortable and carefree life
nEq	kept	-	croak, caw (raven); to bleat (sheep); to cry, scream, screech
nEs	kept	-	be sleepy, drowsy; to take a nap, to doze, slumber; to be dull, listless, slack, stagnant (market, trade)
nHb	kept	-	weeping, crying, sobbing. sighing, moaning, wail(ing), lamentation; time, period, term, span, interval; death
nHl	kept	-	bee
nHr	kept	-	cut the throat slaughter, butcher, kill
nHs	kept	-	misfortune, calamity, disaster
nHt	kept	-	hew, dress, plane, smooth, face; to carve, cut out, hew out, chisel, sculpture; to form, coin
nSH	kept	-	give sincere advice, advise, counsel, admonish. exhort
nSb	kept	-	setting up, putting up, placing; erection; planting, raising (e.g., of a flagstaff)
nSf	kept	-	half, moiety; middle
nSr	kept	-	help, aid, assist; to render victorious, let triumph; to deliver, keep, protect, save
nSt	no_gloss	-	
nSy	not_in_hanswehr	-	
nTH	kept	-	push(ing), thrust(ing), butting; el Nath, a star in the horn of Aries, α Arietis (astron)
nTf	kept	-	dribble, trickle
nTq	kept	-	articulate; to talk, speak, utter; to pronounce
nZr	kept	-	perceive with the eyes, see, view, eye, regard, look, gaze, glance, watch, observe, notice, pay attention; to expect
nb*	kept	-	hurl, fling, throw, or toss, away (. s.th.); to reject, discard, spurn
nbA	kept	-	be high, raised, elevated, protruding, projecting, prominent; to overcome, overpower, overwhelm; to turn away, withdraw, shrink
nbE	kept	-	a tree whose wood was used in arrow-making; spring, source
nbT	kept	-	well out, gush out, spout, issue, stream forth (water)
nbt	kept	-	grow (esp., of plants, also, e.g., of teeth); to sprout, germinate; to produce plants, bring forth vegetation (soil)
nbz	kept	-	give a derisive or insulting name
ndd	kept	-	high hill
ndm	kept	-	remorse, repentance, regret
ndw	kept	-	call; to invite; to call together, convoke, convene, summon
nf$	kept	-	tease; to swell out, puff up; to swell, become swollen
nf*	kept	-	pierce, bore, penetrate, go or pass; to penetrate, get through, pass through; O (mil.) to break through, fight one’s way through the enemy
nfE	kept	-	be useful, beneficial, advantageous, be of use, avail, help; to be usable, to do, serve
nfH	kept	-	spread, be diffused (fragrance), exhale a pleasant smell, be fragrant; to blow (wind); to make s.o. a present of, present
nfd	kept	-	be exhausted, depleted, used up; to run out, come to an end, dwindle away; to be out of print
nfl	kept	-	supererogatory performance, specif., a work of supererogation
nfq	kept	-	sell well, find a ready market (merchandise); to be brisk, active (market)
nfr	kept	-	shy, bolt, stampede (animal)
nfs	kept	-	soul; psyche; spirit, mind
nfv	kept	-	expectoration; saliva, spittle
nfx	kept	-	blow, puff; to breathe; to blow up, inflate, fill with air
nfy	kept	-	expulsion; banishment, exile, expatriation; ejection, ousting, eviction, ostracism
ngD	not_in_hanswehr	-	
nhj	kept	-	open way; road; method, procedure, manner
nhr	kept	-	stream, river
nhy	kept	-	prohibition, ban, interdiction, proscription
njd	kept	-	highland, upland, tableland, plateau; the Arabian highland, Nejd
njm	kept	-	installment, partial payment
njs	kept	-	impurity, uncleanness, uncleanliness, dirt, filth, squalor
njw	kept	-	save o.s., be saved, be rescued, make for safety, get away, escape, he delivered
nkH	kept	-	marry, get married
nkS	kept	-	withdraw, turn away; to recoil, shrink
nkb	kept	-	misfortune, calamity; disaster, catastrophe
nkd	kept	-	misfortune; hardship, adversity; molestation, trouble, nuisance
nkf	kept	-	stop, arrest; to disdain, scorn, spurn; to reject
nkl	kept	-	fetter, shackle, chain; bit (of a bridle)
nkr	kept	-	denial, disavowal
nks	kept	-	turn around, turn over, invert, reverse, turn upside down; to lower, withdraw, retract, pull in; to bow, bend, tilt
nkv	kept	-	break, violate, infringe
nml	kept	-	ant
nmm	kept	-	slander, calumniation, calumny; talebearer, scandalmonger, slanderer, calumniator
nq*	kept	-	deliver, save, rescue
nqD	kept	-	destroy, demolish, tear down, wreak, raze; to tear apart, take apart, undo; to break, violate, infringe
nqE	kept	-	maceration, soaking, steeping; infusion; stagnant water, quagmire, swamp, bog
nqS	kept	-	decrease, become less, diminish, be diminished, be reduced; to decrease, diminish, lessen, reduce, impair, prejudice, be prejudicial, detract
nqb	kept	-	bore, pierce, perforate, breach, make a hole or breach, punch or drill a hole; to dig, dig up, dig out, excavate, hollow out
nqm	kept	-	revenge o.s., avenge o.s., take revenge, take vengeance; to be hostile, be full of rancor or vindictiveness, have a spite, be resentful, be mad, angry
nqr	kept	-	dig; to pierce, bore, hollow out, excavate, make a cavity or hole; to cut, carve
nsA	kept	-	long life, longevity
nsb	kept	-	lineage, descent; origin. extraction, derivation, provenience; kinship, relationship, affinity, relationship by marriage
nsf	kept	-	pulverize, atomize, spray; to carry away and scatter (wind -- the dust); to blow up, blast
nsk	kept	-	piety, devoutness; asceticism; reclusion
nsl	kept	-	beget, procreate, sire, father
nsr	no_gloss	-	
nsw	not_in_hanswehr	-	
nsx	kept	-	delete; to abolish; to abrogate, invalidate
nsy	kept	-	forget
ntq	not_in_hanswehr	-	
nvr	kept	-	scatter, disperse, strew, sprinkle; to write in prose
nw$	no_gloss	-	
nwA	not_in_hanswehr	-	
nwS	kept	-	wild ass, onager
nwb	not_in_hanswehr	-	
nwm	kept	-	sleep, slumber
nwn	kept	-	name of the letter
nwq	no_gloss	-	
nwr	kept	-	blossom(s), flower(s)
nws	not_in_hanswehr	-	
nwy	kept	head	nawan remoteness, distance; destination
nxl	kept	-	palm; date palm
nxr	kept	-	snorting, snort; snoring, snore; decay, rot, rottenness
nyl	no_gloss	-	
nzE	kept	-	pull out, extract; to remove, take, take away, strike, cross off; to take off, shed
nzf	kept	-	drain, exhaust, empty; to dry up; to draw off
nzg	kept	-	incitement to evil
nzl	kept	-	dismount, alight; to descend, go down, come down, move down, get down, step down, climb down; to get off, get out, step out, debark, disembark
q$Er	no_gloss	-	
q*f	kept	-	throw, cast; to throw away, discard; to fling, hurl, toss
qDD	kept	-	pierce, bore, perforate; to break into pieces, crush, bray, bruise, pulverize; to tear down, demolish
qDb	kept	-	edible herbs
qDy	kept	-	settle; to finish, terminate, conclude, end, close, wind up, complete, consummate, accomplish, achieve; to carry out, execute, perform, effectuate
qEd	kept	-	sit down, take a seat; to sit, be sitting; to remain seated
qEr	kept	-	bottom; depth; keel (of a ship)
qHm	no_gloss	-	
qSS	kept	-	clippings, cuttings, chips, snips, shreds, narrative, tale, story
qSd	kept	-	endeavor, aspiration, intention, intent; design, purpose, resolution; object, goal, aim, end
qSf	kept	-	thunder, roar (e.g., of cannon); revelry, carousal
qSm	kept	-	break, shatter
qSr	kept	-	shortness, brevity; smallness; incapability, inability
qSw	kept	-	be far away, be far removed, be at a great distance, be remote, distant; to go far away
qTE	kept	-	cut; to cut off; to chop off, lop off
qTT	kept	-	short and curly (hair)
qTf	kept	-	picking, etc.; scratch
qTmr	not_in_hanswehr	-	
qTr	kept	-	dripping, dribbling, dribble, trickling, trickle
qbD	kept	-	seize, take, grab, grasp, grip, clasp, clutch, take hold, take possession; to hold; to apprehend, arrest
qbH	kept	-	ugliness; ignominy, infamy, shamefulness
qbl	kept	-	accept; to receive (kindly, hospitably), give a friendly reception, receive favorably, approve; to acquiesce, put up, agree, consent, assent
qbr	kept	-	grave, tomb, spulcher
qbs	kept	-	derive, acquire, loan, borrow, adopt, take over
qdH	kept	-	slander, calumniation, calumny, defamation, vilification, aspersion; censure, rebuke, reproof, reproach; depreciation, detraction, impairment
qdd	kept	-	indicates the termination of an action; sometimes corresponding to English “already”; with foll. imperf.: sometimes, at times
qdm	kept	-	precede
qdr	kept	-	decree, ordain, decide
qds	kept	-	holiness, sacredness, sanctity; sanctuary, shrine
qdw	kept	-	be tasty, savory (food)
qfl	kept	-	padlock; lock, latch; bolt
qfw	kept	-	follow
qhr	kept	-	vanquishing, subdual, subjection, subjugation; compulsion, coercion, force; (eg.) annoyance, trouble, sorrow, grief
qlE	kept	-	pluck out, tear out, pull out, weed out, uproot; to root out, exterminate, extirpate; to take off
qlb	kept	-	reversal, inversion; overturn, upheaval; conversion, transformation, transmutation
qld	no_gloss	-	
qll	kept	-	littleness, smallness, fewness; insignificance, inconsiderableness, triviality, paucity, paltriness, scarceness, sparseness, scantiness, insufficiency
qlm	kept	-	reed pen; pen; writing, script, calligraphic style, ductus
qly	kept	-	fry, bake, roast
qmE	kept	-	repression, suppression, curbing, prevention; taming, subdual, quelling, subjection
qmH	kept	-	wheat
qmS	kept	-	gallop
qmTr	kept	-	receptacle for storing books; satchel
qml	kept	-	louse
qmr	kept	-	snow blindness
qnE	kept	-	arms, weapons, armor
qnT	kept	-	despair, despond, become disheartened, be without hope, lose all courage
qnTr	kept	-	arch, span, vault
qnt	kept	-	be obedient, submissive, humble
qnw	kept	-	bunch of dates
qny	kept	-	bunch of dates
qrA	kept	-	declaim, recite; to read; to peruse
qrD	kept	-	cut, sever, cut off, clip; to gnaw, nibble, bite, champ, eat, corrode
qrE	kept	-	knock(ing), rap(ping), beating, striking, thumping; ring(ing)
qrH	kept	-	wound; ulcer, sore
qrTs	kept	-	paper; sheet of paper
qrb	kept	-	be near; to come near, get close, close in, approach; to approximate
qrd	kept	-	tick (zool.)
qrf	kept	-	peel, pare, bark, derind
qrn	kept	-	horn (of an animal; as a wind instrument); feeler, tentacle, antenna
qrr	kept	-	settle down, establish o.s., become settled or sedentary, take up one‘s residence, rest, abide, dwell, live, reside, remain, stay, linger
qry	kept	-	hospitable reception, entertainment (of a guest); meal served to a guest
qsT	kept	-	justice, fairness, equity, equitableness, fair-mindedness, rightness, correctness
qsTs	not_in_hanswehr	-	
qsm	kept	-	divide, part, split; to distribute, deal out, parcel out, divide; to let s.o. share. give s.o. a .hare of s.th., allot
qsr	kept	-	force, compulsion, coercion, constraint
qss	kept	-	priest, presbyter, clergyman, minister, parson, vicar, curate, pastor (Chr.)
qsw	kept	-	be harsh, stern, cruel, merciless, remorseless; to handle roughly, treat harshly, severely, cruelly, without mercy
qtl	kept	-	kill, slay, murder, assassinate; to mitigate, alleviate; to mix, dilute
qtr	no_gloss	-	
qvA	kept	-	cucumber
qwE	kept	-	plain, lowland; bottom, lowest part; wave trough (phys.)
qwb	kept	-	young bird, chick
qwl	kept	-	speak, say, tell, utter, voice; to speak, deal, treat; to state, maintain, assert, propound, teach, profess, advocate, defend
qwm	kept	-	fellow tribesmen, kinsfolk, kin, kindred; tribe, race, people, nation; people
qws	kept	-	bow, longbow; arc (geom.); arch, vault
qwt	kept	-	nutriment, aliment, nourishment, food, viands
qwy	kept	-	strong; vigorous; potent
qyD	kept	-	break, crack, split, cleave, burst open; to get broken, crack, burst; to exchange
qyl	kept	-	princeling; chief, chieftain
r$d	kept	-	integrity of (one’s) actions, proper, sensible conduct; reason, good sense, senses; consciousness
r*l	kept	-	rejection; repudiation; low, base, mean, vile, despicable, contemptible
rAf	kept	-	show mercy, have pity, be kind, gracious, merciful
rAs	kept	-	head (also as a enumerative of cattle); chief, chieftain, head, leader; upper part, upper end
rAy	kept	-	see; to behold, descry, perceive, notice, observe, discern; to look, regard, consider, deem, think
rDE	kept	-	suck
rDw	not_in_hanswehr	-	
rEb	kept	-	fright, alarm, dismay
rEd	kept	-	thunder
rEy	kept	-	graze; to tend
rHb	kept	-	be wide, spacious, roomy
rHl	kept	-	camel saddle; saddlebags; baggage, luggage
rHm	kept	-	uterus; womb; relationship, kinship
rHq	not_in_hanswehr	-	
rSS	kept	-	fit tightly together, press together, compress; to ram, force; to pile up, stack up
rSd	kept	-	observation
rTb	kept	-	moist, damp, humid; wet; fresh, cool
rbE	kept	-	home, residence, quarters
rbH	kept	-	gain, profit; to win (sports, games)
rbS	kept	-	wait, look, watch, be on the lookout
rbT	kept	-	bind, tie up, make fast, moor; to tie, fasten, attach, hitch; to connect
rbb	kept	-	lord; master; owner, proprietor (Isl. Law)
rbw	kept	-	increase; to grow; to grow up
rdA	kept	-	loose outer garment, cloak, robe; (lady’s) dress, gown; attire, costume
rdd	kept	-	send back; to bring back, take back; to return. put back, lay back
rdf	kept	-	come next, come immediately after s.o. or s.th., follow, succeed
rdm	kept	-	filling up (of swamps, ponds, etc.); rubble, debris; dam
rdy	kept	-	perish, be destroyed
rfE	kept	-	lift, lift up, raise aloft, heave up, hoist up; to raise; to raise in esteem
rfd	kept	-	present, gift; support
rfq	kept	-	friendliness, kindness, gentleness
rfrf	kept	-	cushion, pad; eyeshade, visor (of a cap); fender (of an automobile)
rft	kept	-	dismissal, discharge (from service)
rfv	kept	-	obscenity
rgb	kept	-	desire, wish, want, crave, covet; to ask, request; to prefer, like s.th. better than
rgd	kept	-	easy, carefree, pleasant, agreeable (life)
rgm	no_gloss	-	
rhT	kept	-	group (of people), band, troop
rhb	kept	-	he frightened, be afraid; to fear, dread
rhn	kept	-	pawning, mortgaging, pledging
rhq	kept	-	come over s.o. or s.th., overtake
rhw	kept	-	quiet, calm, peaceful, tranquil; stillness, calm, peace, tranquility; crane (zool.)
rjE	kept	-	come back, come again, return; to recur; to resort, turn
rjf	kept	-	be convulsed, be shaken; to tremble, quake; to shiver, shudder
rjj	kept	-	convulse, shake, rock; pass. rujja to be shaken, tremble, shake, quake
rjl	kept	-	foot; leg
rjm	kept	-	stone; to curse, damn, abuse, revile
rjs	kept	-	dirt, filth; dirty thing or act, atrocity
rjw	kept	-	hope; to hope for s.th.; to .xpeat, anticipate, look forward
rjz	kept	-	punishment (inflicted by God); dirt, filth
rkD	kept	-	race, rush, run; to run away; to gallop
rkE	kept	-	bend the body, bow (esp. in prayer); to kneel down, drop to one’s knees
rkb	kept	-	ride; to mount; to go, travel, ride
rkd	kept	-	be motionless, still, stagnant
rkm	kept	-	pile up, heap up, accumulate, amass
rkn	kept	-	lean, support one’s weight; to quiet down, become or be calm, to trust, rely; to be dependent, have to rely
rks	no_gloss	-	
rkz	kept	-	sound, tone
rmH	kept	-	lance, pike; spear, javelin; pole
rmd	kept	-	ophthalmia, inflammation of the eyes; eye disease
rmm	kept	-	repair
rmn	not_in_hanswehr	-	
rmy	kept	-	throw, cast; to fling, hurl; to toss away, throw down
rmz	kept	-	make a sign, to wink, nod, motion; to point, indicate; to symbolize, represent or express symbolically
rqb	kept	-	observe, watch, regard attentively; to supervise, control; to wait, await
rqd	kept	-	sleep, be asleep; to go to bed; to lie down to rest
rqm	kept	-	numeral; number, No.
rqq	kept	-	turtle
rqy	kept	-	ascend; to climb, mount, scale; to rise (in rank), advance, he promoted
rsl	kept	-	be long and flowing (hair)
rss	not_in_hanswehr	-	
rsw	kept	-	be firm, stable, steady; to anchor, cast anchor, land, dock; to ride at anchor
rsx	kept	-	be firmly established, be deeply rooted; to be firm, solid, stable; to be conversant, be thoroughly familiar, be well versed, be at home
rtE	kept	-	pasture, graze; to gormandize, carouse, feast; to revel, indulge freely
rtl	kept	-	be regular, well-ordered, neat, tidy
rtq	kept	-	patching, mending, repair; dam (of a stocking)
rwD	kept	-	tame, domesticate; to break in, train; to train, coach
rwE	kept	-	fright, alarm, dismay, fear
rwH	kept	-	breath of life, soul; spirit (in all senses); gun barrel
rwd	kept	-	soft, tender
rwg	kept	-	turn off, swerve; to dodge, evade, get out of the way of; furtively to turn away
rxw	kept	-	loose, slack; limp, flabby, flaccid; indolent, languid
ry$	kept	-	feathers; feathering, plumage; clothes, attire, exterior
ryE	kept	-	yield; returns, proceeds, income (accruing from an estate), interest; profit share royalty
ryb	kept	-	disquiet, alarm, fill with suspicion or misgivings; to give pause, make 8top and think, make uneasy; to cast a suspicion, show in a suspicious light
ryn	kept	-	take possession, seize, overcome; to descend or come upon s.th.; to reign, prevail
rzq	kept	-	provide with the means of subsistence; to bestow, endow; to bless
sAl	kept	-	ask; to inquire; to ask, request, demand, claim
sAm	kept	-	Shem (eldest son of Noah)
sEd	kept	-	be happy, lucky, fortunate
sEr	kept	-	price; rate; exchange rate, quotation (stock market)
sEy	kept	-	move quickly, run, speed; to move across the sky (moon); to head, be headed, proceed
sHb	kept	-	withdrawal (of troops, of measures, of rights, of money from an account, etc.); drawing (in a lottery)
sHl	kept	-	scrape off, shave off, peel; to smooth, make smooth; to plane
sHq	kept	-	crushing, bruising, pulverization; worn garment, rag
sHr	kept	-	lungs, pulmonary region of the body
sHt	kept	-	s.th. forbidden or banned; illegal possessions, ill-gotten property
sTH	kept	-	spread out, spread, unfold, unroll; to level, even, plane, flatten, make smooth; to throw to the ground, fell
sTr	kept	-	line; row
sTw	kept	-	attack, assault; burglary, housebreaking
sbE	kept	-	predatory animal, beast of prey; lion
sbH	kept	-	swim; to float (fig.); to spread
sbT	kept	-	lank (hair)
sbb	kept	-	rope, tent rope; means for obtaining s.th.; reason, cause, motive, occasion
sbg	kept	-	be long and wide; to abound, be abundant
sbl	kept	-	ears (of cereals)
sbq	kept	-	be, come, go, get, or act, before or ahead of s.o. or s.th., precede, antecede, arrive before s.o. at; to outstrip, outdistance, leave behind
sbt	kept	-	rest; to keep the Sabbath
sdd	kept	-	obstruction, clogging (of a pipe)
sdr	kept	-	a variety of Christ’s-thorn (Zizyphus spina Christi; bot.); lotus tree
sds	kept	-	one-sixth
sdy	kept	-	warp (of a fabric); a continuous, prevailing characteristic or trait, thread (of a story, of an argument, etc.)
sfE	kept	-	scorch, parch, burn; to flap the wings, flutter (bird); to strike, hit, slap
sfH	kept	-	foot (of a mountain)
sfh	kept	-	foolishness, stupidity, silliness; impudence, shamelessness, insolence
sfk	kept	-	shed
sfl	kept	-	be low; to be below s.th.
sfn	kept	-	coarse hide used for polishing; emery paper, sandpaper
sfr	kept	-	book (esp. one of the Scriptures)
sgb	kept	-	hunger, starvation
shl	kept	-	smooth, level, even, soft (ground); easy, facile, convenient; simple, plain
shm	kept	-	look grave, have a grave expression
shr	kept	-	sleeplessness, insomnia; wakefulness, vigil; watchfulness, vigilance
shw	kept	-	inattentiveness, inattention, inadvertence, absent-mindedness distractedness; negligence, neglectfulness, forgetfulness
sjd	kept	-	bow down, bow in worship; to throw o.s. down, prostrate o.s.; to worship
sjl	kept	-	scroll; register; list, index
sjn	kept	-	jail, imprison
sjr	kept	-	fire up, heat
sjw	kept	-	be calm, quiet, tranquil (night, sea)
skb	kept	-	pour out, shed, spill
skn	kept	-	be or become still, tranquil, peaceful; to calm down, repose, rest; (gram.) to be vowelless (consonant, i.e., have no vowel immediately fallowing)
skr	kept	-	intoxication, inebriety, drunkenness
skt	kept	-	in silence; not to answer; pass. sukita to have a stroke (med.)
slH	kept	-	excrements, dung, droppings
slT	kept	-	power, might, strength; authority; sway, dominion, influence, sovereign power, jurisdiction
slb	kept	-	take away, steal, wrest, snatch, rob, strip, dispossess, deprive; to plunder, rifle, loot; to strip of arms and clothing
slf	kept	-	be over, be past, be bygone; to precede, antecede
slk	kept	-	follow, travel; to take, enter upon a course or road; to behave, comport o.s.
sll	kept	-	imperative
slm	kept	-	be safe and sound, unharmed, unimpaired, intact, safe, secure; to be unobjectionable, blameless faultless
slq	kept	-	lacerate the skin; to remove with boiling water; to boil, cook in boiling water
slsl	kept	-	cool fresh water
slw	kept	-	get rid of the memory of, forget, think no more
slx	kept	-	pull off, strip off; to skin, flay; to detach
smE	kept	-	hear; to learn, be told; to listen, pay attention, hear s.o. out
smd	kept	-	raise one’s head proudly, bear one’s head proudly erect
smk	kept	-	roof, ceiling
smm	kept	-	poison, toxin; venom; opening, hole
smn	kept	-	be or become fat, corpulent, obese, stout, plump, fleshy, put on weight
smr	kept	-	nightly, or evening, chat; conversation, talk, chat; night, darkness
smw	kept	-	height, altitude; exaltedness, loftiness, eminence, highness
snbl	kept	-	ear, spike (of grain)
snd	kept	-	support o.s., prop o.s. rest, lean, recline
snh	no_gloss	-	
snm	no_gloss	-	
snn	kept	-	customary practice, usage, habit, rule
snw	not_in_hanswehr	-	
sqT	kept	-	fall (also = to be killed in action); to fall down, drop; to tumble, trip, slip
sqf	kept	-	roof; ceiling
sqm	kept	-	illness, sickness; leanness, thinness, skinniness
sqy	kept	-	give to drink, make s.o. drink; to water; to irrigate
srE	kept	-	be quick, fast, prompt, rapid; to hurry
srH	kept	-	move away, go away, leave; to roam freely; to graze freely (cattle)
srb	kept	-	herd, flock, bevy, covey, swarm; squadron, group, wing, formation, flight (of aircraft); heart, mind
srbl	kept	-	clothe with a sirbāl (q.v.); to clothe, dress; to cover, wrap
srd	kept	-	enumeration; mentioning, quoting; neat, detailed presentation
srdq	not_in_hanswehr	-	
srf	no_gloss	-	
srj	kept	-	saddle
srmd	not_in_hanswehr	-	
srq	kept	-	steal, pilfer, filch; to rob
srr	kept	-	umbilical cord
sry	kept	-	travel by night; to set out, depart by night; to circulate
str	kept	-	cover, veil; to hide, conceal; to disguise
stt	kept	-	six
swA	no_gloss	-	
swE	not_in_hanswehr	-	
swH	kept	-	travel, rove, roam about
swT	kept	-	whip, lash, scourge
swd	no_gloss	-	
swg	kept	-	be easy to swallow, go down pleasantly (drink, food); to be permissible, be permitted, allowed; to swallow
swl	no_gloss	-	
swm	kept	-	offer for sale; to impose, force; to demand of s.o. s.th. beyond his power
swq	kept	-	drive, urge on, herd; to draft, conscript; to drive
swr	kept	-	rest, remainder, remnant, leftover (esp. of food and beverages)
swy	kept	-	be equivalent, be equal, equal
sxT	kept	-	be annoyed, be displeased, be angry, resent
sxr	kept	-	laugh, scoff, jeer, sneer, mock, ridicule, deride, make fun
syH	kept	-	flow, run (water); to melt, thaw, dissolve, become liquid (snow, metal)
syb	kept	-	flow, stream, run (water); to run along, speed along, glide along, creep along, crawl along; to walk fast, hurry
syl	kept	-	flow, stream; to be or become liquid; to melt
syr	kept	-	remain, be left
tEs	kept	-	wretchedness, misery
tHt	kept	-	below, beneath, underneath
tbE	kept	-	follow, succeed, come after s.o. or s.th.; to trail, track go after s.o. or s.th.; to walk behind s.o.
tbb	kept	-	perish, be destroyed
tbr	kept	-	destroy, annihilate
tfv	not_in_hanswehr	-	
tjr	no_gloss	-	
tll	kept	-	hill, elevation
tlw	kept	-	after, upon
tmm	kept	-	be or beoome complete, completed, finished, done; to be performed, be accomplished; to come to an end, be or become terminated
tqn	no_gloss	-	
trb	kept	-	person of the same age, contemporary, mate, companion, comrade
trf	kept	-	live in opulence, in luxury
trk	kept	-	let be, leave, relinquish, renounce, give up, forswear; to desist, refrain, abstain; to leave, quit
trq	kept	-	ascension; ascent; advance, advancement
tsE	kept	-	one ninth, the ninth part
twb	kept	-	repent, be penitent, do penance
twr	not_in_hanswehr	-	
