09-06 02:38:35.871  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:90 303 w334
09-06 02:38:35.872  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:91 303 w334
09-06 02:38:35.872  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:92 188 w334
09-06 02:38:35.872  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:93 341 w334
09-06 02:38:36.444  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:94 226 w334
09-06 02:38:36.444  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:95 179 w334
09-06 02:38:36.444  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:96 293 w334
09-06 02:38:36.445  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:97 226 w334
09-06 02:38:36.445  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:98 188 w334
09-06 02:38:36.445  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:99 150 w334
09-06 02:38:36.445  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:100 179 w334
09-06 02:38:36.446  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:101 265 w334
09-06 02:38:36.446  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:102 647 w334
09-06 02:38:36.446  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:103 188 w334
09-06 02:38:37.577  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:104 188 w334
09-06 02:38:37.578  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:105 265 w334
09-06 02:38:37.578  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:106 226 w334
09-06 02:38:37.578  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:107 188 w334
09-06 02:38:37.579  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:108 226 w334
09-06 02:38:37.579  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:109 341 w334
09-06 02:38:37.579  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:110 226 w334
09-06 02:38:37.580  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:111 226 w334
09-06 02:38:37.580  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:112 226 w334
09-06 02:38:37.580  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:113 341 w334
09-06 02:38:38.673  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:114 303 w334
09-06 02:38:38.673  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:115 188 w334
09-06 02:38:38.673  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:116 188 w334
09-06 02:38:38.674  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:117 188 w334
09-06 02:38:38.674  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:118 265 w334
09-06 02:38:38.674  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:119 179 w334
09-06 02:38:38.675  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:120 303 w334
09-06 02:38:39.920  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:121 226 w334
09-06 02:38:39.920  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:122 188 w334
09-06 02:38:39.921  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:123 226 w334
09-06 02:38:39.921  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:124 265 w334
09-06 02:38:39.921  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:125 303 w334
09-06 02:38:39.922  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:126 303 w334
09-06 02:38:39.922  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:127 188 w334
09-06 02:38:39.922  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:128 226 w334
09-06 02:38:39.922  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:129 226 w334
09-06 02:38:40.463  6082 18739 I ReactNativeJS: RHSPIKE mushaf 28 2:70 188 w334
